0,-5105,-14549,0
1,-5133,-14497,0
2,-5203,-14373,0
3,-5270,-14284,0
4,-5335,-14189,0
5,-5396,-14116,0
6,-5492,-14011,0
7,-5571,-13948,0
8,-5704,-13810,0
9,-5775,-13730,0
10,-5848,-13658,0
11,-5911,-13594,0
12,-5994,-13526,0
13,-6058,-13476,0
14,-6126,-13401,0
15,-6165,-13339,0
16,-6211,-13226,0
17,-6235,-13171,0
18,-6274,-13080,0
19,-6290,-13048,0
20,-6361,-12908,0
21,-6398,-12721,0
22,-6450,-12474,0
23,-6499,-12362,0
24,-6641,-12187,0
25,-6690,-12124,0
26,-6724,-11969,0
27,-6802,-11828,0
28,-6873,-11736,0
29,-6906,-11693,0
30,-7030,-11664,0
31,-7128,-11587,0
32,-7281,-11389,0
33,-7428,-11274,0
34,-7567,-11179,0
35,-7717,-11033,0
36,-7755,-10984,0
37,-7763,-10843,0
38,-7804,-10791,0
39,-7806,-10694,0
40,-7801,-10602,0
41,-7835,-10547,0
42,-7913,-10447,0
43,-7948,-10352,0
44,-7945,-10214,0
45,-7924,-10183,0
46,-7890,-10134,0
47,-7769,-9999,0
48,-7671,-9849,0
49,-7622,-9756,0
50,-7581,-9698,0
51,-7507,-9626,0
52,-7466,-9590,0
53,-7320,-9457,0
54,-7200,-9341,0
55,-7099,-9181,0
56,-7083,-9155,0
57,-6996,-8975,0
58,-6947,-8845,0
59,-6880,-8648,0
60,-6843,-8498,0
61,-6845,-8444,0
62,-6874,-8295,0
63,-6998,-7835,0
64,-7017,-7743,0
65,-7005,-7656,0
66,-6828,-7309,0
67,-6694,-7121,0
68,-6677,-7083,0
69,-6617,-6894,0
70,-6625,-6771,0
71,-6600,-6624,0
72,-6608,-6551,0
73,-6656,-6453,0
74,-6676,-6324,0
75,-6738,-6237,0
76,-6917,-6154,0
77,-7228,-6120,0
78,-7349,-6130,0
79,-7416,-6128,0
80,-7469,-6113,0
81,-7506,-6097,0
82,-7636,-6031,0
83,-7663,-5994,0
84,-7673,-5951,0
85,-7661,-5886,0
86,-7622,-5818,0
87,-7617,-5716,0
88,-7698,-5526,0
89,-7769,-5401,0
90,-7878,-5283,0
91,-8025,-5223,0
92,-8065,-5189,0
93,-8112,-5141,0
94,-8139,-5102,0
95,-8164,-5043,0
96,-8202,-4985,0
97,-8481,-4758,0
98,-8556,-4703,0
99,-8591,-4672,0
100,-8613,-4642,0
101,-8624,-4599,0
102,-8618,-4561,0
103,-8605,-4519,0
104,-8579,-4461,0
105,-8575,-4427,0
106,-8573,-4381,0
107,-8584,-4329,0
108,-8599,-4297,0
109,-8717,-4104,0
110,-3153,-14667,0
111,-3429,-14645,0
112,-3579,-14626,0
113,-3679,-14624,0
114,-3854,-14670,0
115,-3896,-14679,0
116,-4023,-14707,0
117,-4129,-14719,0
118,-4175,-14718,0
119,-4228,-14716,0
120,-4441,-14708,0
121,-4471,-14767,0
122,-4542,-14872,0
123,-4610,-14964,0
124,-4696,-14937,0
125,-4726,-14922,0
126,-4766,-14899,0
127,-4822,-14848,0
128,-4876,-14798,0
129,-4961,-14713,0
130,-5010,-14664,0
131,-5057,-14610,0
132,-5157,-14580,0
133,-5252,-14611,0
134,-3234,-14901,0
135,-3300,-15087,0
136,-3334,-15162,0
137,-3386,-15228,0
138,-3479,-15347,0
139,-3522,-15380,0
140,-3583,-15403,0
141,-3646,-15407,0
142,-4007,-15326,0
143,-4227,-15239,0
144,-4278,-15221,0
145,-4413,-15162,0
146,-4508,-15117,0
147,-4664,-15067,0
148,-4788,-15037,0
149,-4890,-15012,0
150,-4950,-14994,0
151,-4982,-14971,0
152,-5013,-14944,0
153,-5047,-14907,0
154,-5104,-14821,0
155,-5151,-14750,0
156,-5198,-14674,0
157,-4291,-14676,0
158,-4412,-14610,0
159,-4554,-14503,0
160,-4641,-14436,0
161,-5066,-14526,0
162,-5566,-14611,0
163,-5496,-14625,0
164,-5486,-14662,0
165,-5331,-14491,0
166,-5366,-14515,0
167,-5413,-14531,0
168,-5479,-14524,0
